num_projects,num_voters,algorithm,seed,runtime,total_cost,num_selected,social_welfare,budget_limit
30,50,MES,1,0.006,44,5,145,63
30,50,MES,2,0.0092,588,18,475,656
30,50,MES,3,0.0115,1373,27,652,1520
30,50,Greedy,1,0.0032,63,5,147,63
30,50,Greedy,2,0.0019,653,15,418,656
30,50,Greedy,3,0.0016,1444,28,674,1520
40,20,EES,1,0.0204,1296,32,346,1487
40,20,EES,2,0.0101,263,15,152,365
40,20,EES,3,0.0058,66,7,73,129
40,20,EES_AddOpt,1,0.993,1470,34,368,1487
40,20,EES_AddOpt,2,1.4867,354,17,174,365
40,20,EES_AddOpt,3,1.8032,106,9,92,129
40,20,MES,1,0.0072,1460,33,362,1487
40,20,MES,2,0.005,358,11,124,365
40,20,MES,3,0.0023,110,7,80,129
40,20,Greedy,1,0.0014,1484,30,347,1487
40,20,Greedy,2,0.0016,365,7,88,365
40,20,Greedy,3,0.002,128,3,43,129
40,50,EES,1,0.0314,1275,32,830,1487
40,50,EES,2,0.0207,263,15,387,365
40,50,EES,3,0.0139,65,7,162,129
40,50,EES_AddOpt,1,2.9427,1432,34,881,1487
40,50,EES_AddOpt,2,7.7164,354,17,440,365
40,50,EES_AddOpt,3,7.1529,106,9,209,129
40,50,MES,1,0.0126,1438,32,848,1487
40,50,MES,2,0.0079,333,12,341,365
40,50,MES,3,0.0047,104,6,148,129
40,50,Greedy,1,0.0019,1468,31,834,1487
40,50,Greedy,2,0.0039,365,8,243,365
40,50,Greedy,3,0.002,128,3,92,129
50,20,EES,1,0.0201,749,27,293,946
50,20,EES,2,0.015,623,24,245,748
50,20,EES,3,0.0202,2122,43,428,2365
50,20,EES_AddOpt,1,2.4425,936,30,324,946
50,20,EES_AddOpt,2,2.1874,737,26,267,748
50,20,EES_AddOpt,3,0.9193,2316,45,450,2365
50,20,MES,1,0.0066,904,27,299,946
50,20,MES,2,0.0058,740,21,241,748
50,20,MES,3,0.0072,2299,44,447,2365
50,20,Greedy,1,0.0012,946,23,270,946
50,20,Greedy,2,0.0021,748,18,219,748
50,20,Greedy,3,0.0012,2343,44,449,2365
50,50,EES,1,0.0352,782,28,700,946
50,50,EES,2,0.0415,593,24,605,748
50,50,EES,3,0.0444,2024,42,1052,2365
50,50,EES_AddOpt,1,11.0281,929,30,761,946
50,50,EES_AddOpt,2,13.1788,736,27,676,748
50,50,EES_AddOpt,3,4.9895,2304,45,1133,2365
50,50,MES,1,0.0166,920,27,708,946
50,50,MES,2,0.0135,730,23,609,748
50,50,MES,3,0.0216,2206,43,1094,2365
50,50,Greedy,1,0.004,946,24,645,946
50,50,Greedy,2,0.0027,745,16,463,748
50,50,Greedy,3,0.0028,2354,44,1120,2365
70,20,EES,1,0.0397,1865,49,538,2052
70,20,EES,2,0.0385,1827,46,499,2011
70,20,EES,3,0.0383,1311,38,378,1439
70,20,EES_AddOpt,1,4.7716,2040,51,560,2052
70,20,EES_AddOpt,2,5.2614,2008,49,525,2011
70,20,EES_AddOpt,3,6.842,1433,40,397,1439
70,20,MES,1,0.0123,2026,48,545,2052
70,20,MES,2,0.0147,1945,45,502,2011
70,20,MES,3,0.0109,1412,35,371,1439
70,20,Greedy,1,0.0018,2049,42,502,2052
70,20,Greedy,2,0.0017,2011,41,475,2011
70,20,Greedy,3,0.0017,1437,29,334,1439
70,50,EES,1,0.0805,1801,49,1270,2052
70,50,EES,2,0.0808,1802,47,1213,2011
70,50,EES,3,0.0975,1270,38,932,1439
70,50,EES_AddOpt,1,21.6586,2041,52,1348,2052
70,50,EES_AddOpt,2,20.8101,2008,50,1283,2011
70,50,EES_AddOpt,3,32.1632,1416,40,990,1439
70,50,MES,1,0.0284,2004,47,1256,2052
70,50,MES,2,0.0425,1956,45,1190,2011
70,50,MES,3,0.0366,1395,33,865,1439
70,50,Greedy,1,0.0052,2052,43,1180,2052
70,50,Greedy,2,0.0047,2002,43,1156,2011
70,50,Greedy,3,0.0039,1437,28,767,1439
100,20,EES,1,0.0938,3959,83,863,4166
100,20,EES,2,0.0874,4055,82,856,4245
100,20,EES,3,0.0892,4948,94,950,5234
100,20,EES_AddOpt,1,6.7781,4137,85,881,4166
100,20,EES_AddOpt,2,8.0159,4208,84,871,4245
100,20,EES_AddOpt,3,3.48,5216,97,972,5234
100,20,MES,1,0.0274,4083,82,867,4166
100,20,MES,2,0.0256,4220,82,866,4245
100,20,MES,3,0.0512,5048,95,959,5234
100,20,Greedy,1,0.0029,4150,80,858,4166
100,20,Greedy,2,0.0029,4239,81,862,4245
100,20,Greedy,3,0.003,5220,97,972,5234
100,50,EES,1,0.2674,3836,82,2066,4166
100,50,EES,2,0.2199,3967,82,2078,4245
100,50,EES,3,0.1893,4849,93,2297,5234
100,50,EES_AddOpt,1,39.0438,4106,85,2141,4166
100,50,EES_AddOpt,2,39.5321,4220,85,2153,4245
100,50,EES_AddOpt,3,17.8189,5233,97,2391,5234
100,50,MES,1,0.0453,4122,80,2070,4166
100,50,MES,2,0.041,4181,82,2106,4245
100,50,MES,3,0.0403,5098,95,2354,5234
100,50,Greedy,1,0.0051,4164,77,2022,4166
100,50,Greedy,2,0.0051,4227,81,2094,4245
100,50,Greedy,3,0.0052,5209,95,2361,5234
